date,bitcoin_market_cap,total_market_cap,bitcoin_dominance,rolling_avg
2016-06-30,10556309174.399996,12773413407.164124,82.64282097437919,81.80419409169357
2016-07-01,10654888849.0,12796878533.66888,83.26162369179909,81.91173029740993
2016-07-02,10897332418.600002,13003020715.995905,83.8061605577114,82.03525110073578
2016-07-03,10456041581.34137,12549494577.914703,83.31842781734406,82.11956428606237
2016-07-04,10678148801.861635,12799309561.89864,83.4275376356914,82.2024149748997
2016-07-05,10504760879.50388,12520143884.465551,83.90287664774945,82.30505265979944
2016-07-06,10639167835.700005,12659494017.291636,84.04101950021018,82.40262523528968
2016-07-07,10054273625.000002,11960538401.185038,84.06204877870577,82.5174109489441
2016-07-08,10483645176.39353,12551047014.514238,83.52805279328544,82.61294239985365
2016-07-09,10298813661.942278,12337119410.73516,83.47826846014598,82.7137459487599
2016-07-10,10244077501.140003,12286671387.754725,83.37553091351955,82.79879428460366
2016-07-11,10225531860.96,12267509740.323572,83.35458522073516,82.86975548554425
2016-07-12,10571303711.856,12788841305.773985,82.66037132764485,82.89709167189707
2016-07-13,10370703851.400002,12689216210.358215,81.72848251205926,82.90915668698624
2016-07-14,10394281928.736004,12795081420.680395,81.23654384829445,82.9500122351325
2016-07-15,10491679653.244476,12921133096.99685,81.19782974515579,82.97991838718308
2016-07-16,10458476976.564005,12902506784.894974,81.05771344222654,82.99691058751274
2016-07-17,10694420116.412523,13101753892.454231,81.62586630918035,82.94441374618334
2016-07-18,10638777020.11729,12939669005.569826,82.21830879551767,82.82798554374898
2016-07-19,10636194258.165005,13143380229.690657,80.92434421198617,82.69127340967573
2016-07-20,10579131342.279297,13152268438.275295,80.43579244088616,82.54895452525544
2016-07-21,10493517598.78291,13065905779.899244,80.31220931446077,82.45450930309077
2016-07-22,10269410781.96,12987294763.17804,79.0727473982968,82.35268039092598
2016-07-23,10338768243.216002,12890913633.087343,80.20198208976667,82.29042270492664
2016-07-24,10425364936.563225,12876463937.87513,80.96450226445954,82.23842848574917
2016-07-25,10326505495.914951,12872274252.943186,80.22285178979809,82.16503522380225
2016-07-26,10276898043.719995,12706862268.952282,80.8767564029586,82.13125449730741
2016-07-27,10345876482.259169,12821424408.743853,80.69209904013138,82.09086111664837
2016-07-28,10351218168.470943,12833746509.289965,80.65624610068468,82.0203560684281
